course_title,course_organization,course_certificate_type,course_rating,course_difficulty
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner
Data Analysis with Python,IBM,COURSE,4.7,Beginner
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner
Data Science Math Skills,Duke University,COURSE,4.5,Beginner
Data Science Methodology,IBM,COURSE,4.6,Beginner
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner
Data Visualization with Python,IBM,COURSE,4.6,Intermediate
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner
Data-driven Decision Making,PwC,COURSE,4.6,Beginner
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner
Dentistry 101,University of Michigan,COURSE,4.7,Beginner
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner
Digital Business Models,Lund University,COURSE,4.5,Beginner
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate
