course_title,course_organization,course_certificate_type,course_rating,course_difficulty
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner
Roman Architecture,Yale University,COURSE,4.9,Beginner
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner
"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner
Social Psychology,Wesleyan University,COURSE,4.7,Beginner
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate
Sports and Society,Duke University,COURSE,4.8,Mixed
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner
Stories of Infection,Stanford University,COURSE,4.9,Intermediate
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner
Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner
Success,University of Pennsylvania,COURSE,4.8,Beginner
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner
Technical Support Fundamentals,Google,COURSE,4.8,Beginner
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner
The Addicted Brain,Emory University,COURSE,4.6,Beginner
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner
The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed
The Global Financial Crisis,Yale University,COURSE,4.8,Mixed
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner
The Science of Well-Being,Yale University,COURSE,4.9,Mixed
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed
The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner
Tools for Data Science,IBM,COURSE,4.6,Beginner
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner
Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner
Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate
Using Databases with Python,University of Michigan,COURSE,4.8,Mixed
Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate
Version Control with Git,Atlassian,COURSE,4.8,Mixed
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed
Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner
What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner
What future for education?,UCL Institute of Education,COURSE,4.7,Mixed
What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed
What is Data Science?,IBM,COURSE,4.7,Beginner
What is Social?,Northwestern University,COURSE,4.6,Mixed
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner
Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed
Write Your First Novel,Michigan State University,COURSE,4.4,Beginner
Writing in the Sciences,Stanford University,COURSE,4.9,Beginner
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed
iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate
